CRASH_DATE,count
1,102
2,147
3,78
4,59
5,158
6,158
7,153
8,150
9,183
10,128
11,70
12,258
13,171
14,130
15,172
16,164
17,124
18,53
19,92
20,137
21,151
22,135
23,132
24,114
25,76
26,155
27,126
28,125
29,123
30,162
31,139
32,74
33,122
34,124
35,116
36,145
37,137
38,118
39,84
40,162
41,127
42,158
43,163
44,178
45,114
46,74
47,112
48,151
49,148
50,144
51,146
52,155
53,70
54,148
55,129
56,141
57,175
58,165
59,174
60,67
61,215
62,444
63,158
64,133
65,187
66,145
67,70
68,162
69,146
70,102
71,145
72,202
73,123
74,51
75,134
76,159
77,136
78,182
79,190
80,125
81,64
82,157
83,150
84,173
85,157
86,189
87,124
88,71
89,153
90,124
91,146
92,144
93,166
94,97
95,86
96,118
97,141
98,178
99,126
100,187
101,108
102,75
103,153
104,197
105,318
106,197
107,133
108,138
109,66
110,165
111,136
112,143
113,134
114,190
115,140
116,64
117,129
118,150
119,189
120,178
121,215
122,147
123,82
124,175
125,147
126,197
127,169
128,162
129,205
130,75
131,150
132,132
133,152
134,163
135,173
136,211
137,83
138,169
139,165
140,178
141,168
142,188
143,129
144,82
145,107
146,185
147,149
148,165
149,189
150,144
151,92
152,181
153,182
154,165
155,178
156,155
157,145
158,95
159,159
160,172
161,176
162,151
163,154
164,132
165,102
166,183
167,175
168,173
169,181
170,179
171,116
172,90
173,151
174,177
175,156
176,177
177,173
178,119
179,111
180,145
181,161
182,183
183,156
184,147
185,103
186,102
187,197
188,166
189,159
190,176
191,153
192,116
193,75
194,148
195,190
196,144
197,183
198,177
199,141
200,81
201,168
202,168
203,168
204,158
205,129
206,127
207,88
208,176
209,166
210,159
211,159
212,165
213,147
214,96
215,226
216,179
217,140
218,189
219,203
220,150
221,100
222,132
223,169
224,135
225,172
226,190
227,114
228,83
229,177
230,172
231,181
232,172
233,182
234,142
235,97
236,214
237,160
238,207
239,213
240,210
241,156
242,88
243,161
244,155
245,186
246,176
247,190
248,120
249,69
250,116
251,189
252,180
253,198
254,204
255,145
256,87
257,183
258,182
259,204
260,145
261,201
262,149
263,93
264,168
265,204
266,159
267,177
268,203
269,139
270,77
271,160
272,170
273,158
274,184
275,253
276,142
277,91
278,182
279,161
280,191
281,187
282,191
283,162
284,96
285,169
286,181
287,184
288,169
289,167
290,160
291,116
292,180
293,173
294,177
295,154
296,218
297,142
298,63
299,156
300,172
301,150
302,243
303,211
304,151
305,91
306,174
307,177
308,157
309,162
310,182
311,132
312,98
313,201
314,254
315,175
316,182
317,222
318,179
319,103
320,241
321,165
322,162
323,196
324,220
325,153
326,76
327,208
328,235
329,181
330,108
331,151
332,429
333,105
334,229
335,209
336,176
337,197
338,187
339,160
340,73
341,185
342,209
343,172
344,184
345,224
346,159
347,77
348,632
349,241
350,213
351,274
352,243
353,138
354,99
355,207
356,348
357,413
358,135
359,190
360,140
361,85
362,171
363,189
364,216
365,213
366,131
367,118
368,80
369,228
370,198
371,168
372,290
373,245
374,108
375,71
376,200
377,163
378,174
379,224
380,278
381,148
382,104
383,150
384,230
385,220
386,167
387,144
388,196
389,192
390,223
391,156
392,137
393,138
394,209
395,346
396,199
397,361
398,186
399,170
400,229
401,299
402,135
403,74
404,163
405,163
406,148
407,156
408,170
409,145
410,126
411,130
412,134
413,140
414,198
415,145
416,131
417,66
418,167
419,166
420,127
421,173
422,163
423,123
424,57
425,119
425,143
426,168
427,131
428,164
429,150
430,113
431,159
432,154
433,134
434,130
435,149
436,119
437,87
438,197
439,169
440,161
441,127
442,182
443,126
444,81
445,134
446,266
447,187
448,152
449,159
450,146
451,80
452,168
453,170
454,158
455,184
456,194
457,125
458,89
459,172
460,141
461,160
462,138
463,181
464,135
465,91
466,163
467,181
468,209
469,186
470,169
471,138
472,74
473,147
474,172
475,162
476,187
477,171
478,163
479,64
480,169
481,167
482,160
483,164
484,201
485,130
486,79
487,164
488,171
489,148
490,163
491,221
492,172
493,98
494,212
495,152
496,158
497,179
498,223
499,144
500,92
501,164
502,161
503,174
504,179
505,185
506,151
507,80
508,183
509,166
510,180
511,189
512,189
513,143
514,88
515,127
516,165
517,189
518,194
519,191
520,160
521,83
522,173
523,149
524,160
525,172
526,204
527,161
528,98
529,193
530,162
531,190
532,180
533,176
534,164
535,99
536,187
537,182
538,201
539,193
540,175
541,162
542,89
543,182
544,179
545,165
546,177
547,176
548,144
549,94
550,116
551,182
552,141
553,165
554,186
555,130
556,90
557,192
558,192
559,161
560,193
561,188
562,134
563,85
564,194
565,172
566,207
567,177
568,174
569,172
570,88
571,139
572,188
573,173
574,167
575,192
576,135
577,97
578,150
579,168
580,160
581,184
582,215
583,171
584,98
585,165
586,188
587,169
588,197
589,204
590,137
591,109
592,169
593,184
594,189
595,193
596,206
597,148
598,86
599,196
600,187
601,194
602,143
603,199
604,141
605,100
606,194
607,185
608,193
609,233
610,203
611,118
612,88
613,112
614,180
615,191
616,203
617,223
618,170
619,90
620,174
621,222
622,226
623,192
624,215
625,155
626,87
627,221
628,195
629,204
630,256
631,257
632,155
633,77
634,182
635,196
636,235
637,206
638,252
639,146
640,94
641,175
642,193
643,236
644,180
645,254
646,150
647,86
648,157
649,181
650,182
651,200
652,183
653,166
654,92
655,241
656,164
657,195
658,166
659,163
660,129
661,100
662,206
663,164
664,179
665,181
666,252
667,167
668,92
669,215
670,186
671,178
672,192
673,234
674,153
675,95
676,223
677,226
678,181
679,206
680,211
681,174
682,105
683,208
684,239
685,177
686,262
687,233
688,190
689,98
690,330
691,257
692,261
693,120
694,135
695,124
696,127
697,518
698,212
699,183
700,177
701,263
702,131
703,77
704,202
705,197
706,185
707,198
708,213
709,194
710,123
711,215
712,161
713,274
714,196
715,330
716,217
717,115
718,219
719,176
720,249
721,295
722,214
723,187
724,324
725,153
726,208
727,149
728,187
729,175
730,108
731,97
732,465
733,238
734,246
735,472
736,375
737,184
738,254
739,236
740,163
741,192
742,273
743,181
744,125
745,96
746,205
747,152
748,148
749,430
750,261
751,350
752,136
753,331
754,219
755,242
756,209
757,216
758,111
759,70
760,165
761,171
762,122
763,148
764,175
765,123
766,57
767,120
768,144
769,124
770,150
771,198
772,162
773,71
774,167
775,199
776,152
777,159
778,175
779,102
780,99
781,94
782,187
783,235
784,423
785,377
786,149
787,61
788,383
789,171
790,171
791,162
792,156
793,127
794,99
795,248
796,141
797,156
798,158
799,143
800,136
801,67
802,154
803,123
804,156
805,141
806,170
807,130
808,67
809,142
810,128
811,165
812,269
813,155
814,152
815,76
816,194
817,141
818,149
819,156
820,188
821,143
822,72
823,159
824,144
825,148
826,138
827,161
828,182
829,129
830,157
831,126
832,176
833,142
834,169
835,136
836,73
837,163
838,186
839,157
840,196
841,203
842,121
843,68
844,200
845,195
846,152
847,160
848,206
849,141
850,67
851,160
852,178
853,172
854,200
855,206
856,136
857,86
858,223
859,199
860,178
861,175
862,208
863,137
864,71
865,175
866,174
867,209
868,148
869,172
870,106
871,78
872,159
873,166
874,195
875,166
876,171
877,121
878,77
879,102
880,184
881,164
882,202
883,207
884,151
885,74
886,176
887,195
888,163
889,177
890,175
891,129
892,86
893,153
894,162
895,162
896,152
897,176
898,147
899,90
900,177
901,186
902,164
903,202
904,180
905,148
906,103
907,179
908,196
909,193
910,175
911,181
912,158
913,79
914,156
915,113
916,193
917,167
918,201
919,147
920,90
921,183
922,163
923,169
924,191
925,186
926,130
927,105
928,171
929,164
930,201
931,188
932,183
933,118
934,88
935,145
936,200
937,227
938,188
939,176
940,141
941,97
942,196
943,208
944,169
945,161
946,194
947,146
948,92
949,148
950,185
951,181
952,171
953,182
954,157
955,92
956,166
957,199
958,201
959,199
960,190
961,151
962,107
963,216
964,211
965,203
966,209
967,227
968,159
969,98
970,214
971,173
972,230
973,176
974,218
975,143
976,74
977,111
978,200
979,183
980,221
981,200
982,136
983,84
984,219
985,230
986,195
987,211
988,267
989,147
990,83
991,188
992,221
993,211
994,200
995,200
996,178
997,144
998,188
999,199
1000,187
1001,195
1002,240
1003,171
1004,101
1005,189
1006,189
1007,173
1008,206
1009,201
1010,162
1011,81
1012,181
1013,208
1014,168
1015,175
1016,213
1017,158
1018,98
1019,211
1020,185
1021,208
1022,177
1023,167
1024,127
1025,103
1026,194
1027,195
1028,185
1029,189
1030,197
1031,155
1032,113
1033,195
1034,201
1035,165
1036,172
1037,208
1038,138
1039,80
1040,178
1041,177
1042,201
1043,228
1044,186
1045,148
1046,86
1047,182
1048,210
1049,186
1050,197
1051,329
1052,166
1053,92
1054,193
1055,236
1056,231
1057,82
1058,124
1059,105
1060,85
1061,239
1062,215
1063,202
1064,207
1065,207
1066,155
1067,89
1068,303
1069,220
1070,207
1071,194
1072,226
1073,147
1074,82
1075,202
1076,179
1077,218
1078,243
1079,216
1080,285
1081,164
1082,255
1083,239
1084,282
1085,283
1086,233
1087,224
1088,185
1089,134
1090,146
1091,148
1092,138
1093,143
1094,110
1095,85
1096,100
1097,166
1098,149
1099,161
1100,165
1101,229
1102,136
1103,161
1104,204
1105,204
1106,149
1107,161
1108,113
1109,70
1110,111
1111,168
1112,155
1113,176
1114,187
1115,408
1116,85
1117,151
1118,168
1119,143
1120,190
1121,194
1122,120
1123,72
1124,147
1125,151
1126,154
1127,128
1128,159
1129,109
1130,82
1131,126
1132,187
1133,147
1134,156
1135,164
1136,110
1137,53
1138,154
1139,182
1140,176
1141,195
1142,181
1143,104
1144,136
1145,601
1146,233
1147,182
1148,169
1149,550
1150,162
1151,103
1152,147
1153,182
1154,151
1155,148
1156,157
1157,107
1158,197
1159,162
1160,157
1161,163
1162,159
1163,137
1164,108
1165,63
1166,129
1167,166
1168,240
1169,258
1170,210
1171,136
1172,110
1173,146
1174,120
1175,135
1176,174
1177,197
1178,112
1179,132
1180,260
1181,162
1182,146
1183,192
1184,195
1185,124
1186,78
1187,108
1188,133
1189,126
1190,139
1191,200
1192,158
1193,61
1194,170
1195,145
1196,116
1197,177
1198,217
1199,129
1200,50
1201,175
1202,178
1203,170
1204,147
1205,187
1206,117
1207,96
1208,157
1209,134
1210,190
1211,193
1212,202
1213,158
1214,69
1215,207
1216,200
1217,240
1218,196
1219,186
1220,117
1221,103
1222,178
1223,180
1224,176
1225,178
1226,212
1227,155
1228,86
1229,156
1230,205
1231,202
1232,190
1233,203
1234,151
1235,80
1236,184
1237,217
1238,175
1239,199
1240,197
1241,122
1242,94
1243,109
1244,169
1245,174
1246,194
1247,220
1248,145
1249,88
1250,153
1251,149
1252,170
1253,152
1254,165
1255,108
1256,69
1257,191
1258,173
1259,183
1260,178
1261,198
1262,163
1263,85
1264,162
1265,184
1266,186
1267,197
1268,189
1269,162
1270,86
1271,174
1272,192
1273,180
1274,207
1275,163
1276,149
1277,96
1278,165
1279,175
1280,99
1281,152
1282,180
1283,140
1284,104
1285,189
1286,180
1287,172
1288,188
1289,170
1290,123
1291,86
1292,178
1293,163
1294,176
1295,197
1296,183
1297,149
1298,106
1299,150
1300,124
1301,177
1302,186
1303,177
1304,154
1305,87
1306,181
1307,187
1308,184
1309,172
1310,179
1311,134
1312,72
1313,191
1314,195
1315,189
1316,171
1317,174
1318,118
1319,92
1320,160
1321,162
1322,151
1323,198
1324,223
1325,152
1326,90
1327,157
1328,179
1329,265
1330,172
1331,190
1332,106
1333,99
